uniqueId,conceptId,lotNumber,din,reviewDate,expiryDate,lastUpdated
e4cd03c5-e23d-4e77-9d5d-455cb93c0927,7431000087103,C4986A,02240255,2016-05-11,2018-04-30,2019-07-18
381e40f5-d695-4662-8ddb-d670f9fa6ca4,7431000087103,C4994A,02240255,2016-05-11,2018-05-31,2019-07-18
64aaa778-5813-4e2f-b324-82d741a19c9e,7431000087103,C4994B,02240255,2016-05-11,2018-05-31,2019-07-18
29a036db-b19f-4358-8335-f2223e8774bc,7431000087103,C4933AD,02240255,2016-07-25,2018-02-28,2019-07-18
2915afdf-4219-4b87-b7e5-3e942b265c4a,7431000087103,C4932AA,02240255,2016-07-25,2018-01-31,2019-07-18
ddbb6575-eb63-4fb3-bef2-f5b33d6b7e9a,7431000087103,C4960AG,02240255,2016-07-25,2018-02-28,2019-07-18
9463803e-1d07-4a2e-a698-cfd584a00a02,7431000087103,C4800AC,02240255,2016-07-25,2017-08-31,2019-07-18
e302c22a-d778-450e-8918-37e2504225d5,7431000087103,C4800AA,02240255,2016-07-25,2017-08-31,2019-07-18
169301e5-38fe-428f-8062-260a285f1feb,7431000087103,C4869AA,02240255,2016-07-25,2017-12-31,2019-07-18
f8ecde51-cf1f-4646-baea-563d6e86e898,7431000087103,C4920AA,02240255,2016-07-25,2017-12-31,2019-07-18
10bbec7b-e1bd-4343-ba54-1b06ca7d425f,7431000087103,C5080A,02240255,2016-08-22,2018-09-30,2019-07-18
99741ba7-3487-4962-96f3-80e97bca87f7,7431000087103,C5174A,02240255,2016-08-25,2019-02-28,2019-07-18
7999f558-a68c-4240-8e3e-8a86cc246239,7431000087103,C5133A,02240255,2016-09-08,2019-01-31,2019-07-18
ec7d7ef8-5545-494c-b411-5099f619100b,7431000087103,C5003BE,02240255,2016-09-20,2018-06-30,2019-07-18
515433a2-daca-4797-86f7-59af7a6c57f3,7431000087103,C5134A,02240255,2016-09-28,2019-01-31,2019-07-18
494c1bd6-4846-4523-98c3-6751b052fa80,7431000087103,C5159A,02240255,2016-09-28,2019-01-31,2019-07-18
3883f1e7-d67f-4229-a3df-f5989cbeccb1,7431000087103,C5072A,02240255,2016-10-04,2018-09-30,2019-07-18
39bc724d-dce6-4623-b589-7f862f114bd4,7431000087103,C5083A,02240255,2016-10-05,2018-09-30,2019-07-18
13bcfc76-9c53-40d0-87ae-a4c6599f9245,7431000087103,C5083B,02240255,2016-10-05,2018-09-30,2019-07-18
ca235b51-a0c0-49f5-acc6-f13d207a3d75,7431000087103,C4995A,02240255,2016-10-26,2018-05-31,2019-07-18
bc21cb12-aa27-4bca-b02e-217fb7f15ef1,7431000087103,C4995B,02240255,2016-10-26,2018-05-31,2019-07-18
a568972f-3801-48f2-938a-ab1333a62d55,7431000087103,C5163A,02240255,2016-11-15,2019-02-28,2019-07-18
da745ddf-61b3-4d36-93bb-7cdd0c394b0f,7431000087103,C4994AA,02240255,2016-11-15,2018-05-31,2019-07-18
1dcda280-8955-4bc6-8d61-ee03ef55068f,7431000087103,C5015AC,02240255,2016-11-15,2018-07-31,2019-07-18
f6e203bd-2379-4bc8-a001-2dab2662346a,7431000087103,C4817A,02240255,2016-12-09,2017-08-31,2019-07-18
e92d6158-9a1e-4ba7-bf1c-b9c9ca72fa41,7431000087103,C5203A,02240255,2017-01-24,2019-04-30,2019-07-18
36b388ab-d410-47ea-ba00-a22b57820a9d,7431000087103,C5203B,02240255,2017-01-24,2019-04-30,2019-07-18
e38b078b-9f11-4ca2-bc00-a6de576567ef,7431000087103,C5192A,02240255,2017-02-02,2019-04-30,2019-07-18
e9df4b06-2228-4d14-8927-c18f87c9f2ff,7431000087103,C5286A,02240255,2017-02-15,2019-09-30,2019-07-18
f9a64f04-63dd-4a28-8c46-97b71d5c8b99,7431000087103,C5286B,02240255,2017-02-15,2019-09-30,2019-07-18
c7a84d4b-d535-4e40-9991-372e5cc2d90d,7481000087104,L0242,02352044,2015-09-16,2017-04-30,2019-07-18
b3d9933a-4933-4d89-a0e3-cb089451bfba,7481000087104,M0070,02352044,2016-04-08,2017-09-30,2019-07-18
01df4db4-3d78-45f3-a86d-656ad4b44283,7481000087104,M0224,02352044,2016-04-14,2018-02-28,2019-07-18
7af3f17c-1fc1-4c8f-aba7-3e63d0e09e12,7481000087104,M0222,02352044,2016-06-06,2018-02-28,2019-07-18
2544f42e-2f8c-4f6d-b5bc-1cb9148c627a,7481000087104,M0255,02352044,2016-07-14,2018-03-31,2019-07-18
7f757be1-7c64-4657-8dc4-f07359887e7f,7481000087104,M0262,02352044,2016-07-22,2018-06-30,2019-07-18
497b8c96-33f9-415b-abae-cb0c98d8d643,7481000087104,M0323,02352044,2016-08-04,2018-06-30,2019-07-18
